step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.099047831997222,4.843426171048684,4.546784512522334,0.5302848462861818,0.011431755686864798,0.03641841323499034,0.46976523784643137
1,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.104767743616764,4.839313001853501,4.494945330534126,0.526800566664885,0.01138439797396824,0.03680528185695375,0.5104416538223594
2,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.108792348328727,4.836136460913862,4.404411437298511,0.5216976063696039,0.011345188424562232,0.0367833750225723,0.5519865879482517
3,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.836136460913862,4.350699477805682,0.5178770464734039,0.01141017465345056,0.0367833750225723,0.5580481094138964
4,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.836136460913862,4.321468817106835,0.5154212236089494,0.01141017465345056,0.0367833750225723,0.5622200666855871
5,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.832706034997432,4.321468817106835,0.5143960879018645,0.01141017465345056,0.03682414593493816,0.5622200666855871
6,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.828537220461291,4.321468817106835,0.5133465506063104,0.01141017465345056,0.037149833357752286,0.5622200666855871
7,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.828537220461291,4.321468817106835,0.5126118417311964,0.01141017465345056,0.037149833357752286,0.5622200666855871
8,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.824439175865242,4.305701045402228,0.5110224737239273,0.01141017465345056,0.037407112105137655,0.5654358569412867
9,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5097542092873506,0.01141017465345056,0.03751917255700186,0.5660282288676789
